Option, # goals, # get-abd successes, # get-abd success %, # smt successes, #smt sucess %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures,,,,
,,m <= (Z.succ m) && m <= (Z.pred m) && n <= m,,,,,,,,,,,
39,  0 < n -> 0 <= Z.pred n,n = (Z.pred n),n = (Z.pred n),n = (Z.pred n) && n = 3,n = (Z.pred n),(Z.pred n) = n,n <= (Z.pred n),(Z.pred n) = n,n <= (Z.pred n),(Z.pred n) = n,n <= (Z.pred n),(Z.pred n) = n,n <= (Z.pred n)
,,n <= (Z.pred n) && n = 3,n <= (Z.pred n),n <= (Z.pred n) && n = 3,n <= (Z.pred n),(Z.pred n) + -2 = -1,(Z.pred n) + n = n,(Z.pred n) + -2 = -1,(Z.pred n) + n = n,(Z.pred n) + -2 = -1,(Z.pred n) + n = n,(Z.pred n) + -2 = -1,(Z.pred n) + n = n
,,n = (Z.pred 1) && n <= 1,0 = (Z.pred n),n <= (Z.pred n) && n = 2,0 = (Z.pred n),(Z.pred n) + -1 = n && -5 + n + n = -1,n + n <= (Z.pred n),(Z.pred n) + n = n,n + n = (Z.pred n),(Z.pred n) + -1 = n && -5 + n + n = -1,n + n <= (Z.pred n),(Z.pred n) + n = n,n + n = (Z.pred n)
40,  n > 0 -> 0 <= Z.pred n,n = (Z.pred n),n = (Z.pred n),n = (Z.pred n) && n = 3,n = (Z.pred n),(Z.pred n) = n,n <= (Z.pred n),(Z.pred n) = n,n <= (Z.pred n),(Z.pred n) = n,n <= (Z.pred n),(Z.pred n) = n,n <= (Z.pred n)
,,n <= (Z.pred n) && n = 3,n <= (Z.pred n),n <= (Z.pred n) && n = 3,n <= (Z.pred n),(Z.pred n) + -2 = -1,(Z.pred n) + n = n,(Z.pred n) + -2 = -1,(Z.pred n) + n = n,(Z.pred n) + -2 = -1,(Z.pred n) + n = n,(Z.pred n) + -2 = -1,(Z.pred n) + n = n
,,n = (Z.pred 1) && n <= 1,0 = (Z.pred n),n <= (Z.pred n) && n = 2,0 = (Z.pred n),(Z.pred n) + -1 = n && -5 + n + n = -1,n + n <= (Z.pred n),(Z.pred n) + n = n,n + n = (Z.pred n),(Z.pred n) + -1 = n && -5 + n + n = -1,n + n <= (Z.pred n),(Z.pred n) + n = n,n + n = (Z.pred n)
41,"  forall p q : positive, Z.neg p <= Z.pos q",p = 0 && p = q,p = 0 - q,p = 0 && p = q,p = 0 - q,(not -1 = p) && p <= q && -1 <= p,,p <= q && p + p = p,p + q = 3,(not -1 = p) && p <= q && -1 <= p,,p <= q && p + p = p,p + q = 3
,,p = 1 && p <= q,p = 1 - q,p = 1 && p <= q,p = 1 - q,3 + p <= q && -1 = p,,q + q = p && -1 <= p,5 <= p + q,3 + p <= q && -1 = p,,q + q = p && -1 <= p,5 <= p + q
,,1 = q && 0 = p,0 <= p + q,p = 0 && p <= q,0 <= p + q,(not -1 = p) && -1 <= p && q + p = p,,q + -2 = -1 && -1 = p,2 <= p && p <= q,(not -1 = p) && -1 <= p && q + p = p,,q + -2 = -1 && -1 = p,2 <= p && p <= q
42,"  forall p : positive, Z.pos p > 0",,,,,,,p + p + -3 = p,,,,p + p + -3 = p,
,,,,,,,,-3 + p = -1,,,,-3 + p = -1,
,,,,,,,,p <= p + p + -2,,,,p <= p + p + -2,
43,"  forall p : positive, 0 <= Z.pos p",p = 0,p = 0,p = 0,p = 0,,,,,,,,
,,p = 1,p = 1,p = 1,p = 1,,,,,,,,
,,0 <= p,0 <= p,0 <= p,0 <= p,,,,,,,,
44,"  forall p : positive, Z.neg p < 0",,,,,,,p + p + -3 = p,,,,p + p + -3 = p,
,,,,,,,,-3 + p = -1,,,,-3 + p = -1,
,,,,,,,,p <= p + p + -2,,,,p <= p + p + -2,
45,"  forall n : nat, 0 <= Z.of_nat n",,,0 = (Z.of_nat n),,,(Z.of_nat n) + -2 = -1,(Z.of_nat n) + -2 = -1,(Z.of_nat n) + -4 = -1,,(Z.of_nat n) + -2 = -1,(Z.of_nat n) + -2 = -1,(Z.of_nat n) + -4 = -1
,,,,1 = (Z.of_nat n),,,-1 <= (Z.of_nat n) + -3,-1 <= (Z.of_nat n) + -3,-1 <= (Z.of_nat n) + -4,,-1 <= (Z.of_nat n) + -3,-1 <= (Z.of_nat n) + -3,-1 <= (Z.of_nat n) + -4
,,,,1 <= (Z.of_nat n),,,-1 <= (Z.of_nat n) + (Z.of_nat n),-1 <= (Z.of_nat n) + (Z.of_nat n),-1 <= (Z.of_nat n) + (Z.of_nat n),,-1 <= (Z.of_nat n) + (Z.of_nat n),-1 <= (Z.of_nat n) + (Z.of_nat n),-1 <= (Z.of_nat n) + (Z.of_nat n)
46,  Z.succ n > m -> n > m \/ m = n,m = n,m = n,m = n,m = n,m <= n,m <= n,-1 <= n && m <= -1,n = m,m <= n,m <= n,-1 <= n && m <= -1,n = m
,,m <= n,m <= n,m <= n,m <= n,(Z.succ n) <= -1 && n + m = m,(Z.succ n) = n,m <= n + n && m <= (Z.succ 3) && (Z.succ 3) = -1,m <= n,(Z.succ n) <= -1 && n + m = m,(Z.succ n) = n,m <= n + n && m <= (Z.succ 3) && (Z.succ 3) = -1,m <= n
,,(Z.succ n) = 0 && 2 = n,n = (Z.succ n),n = (Z.succ n),n = (Z.succ n),(Z.succ m) = -1 && (Z.succ m) = n && (Z.succ n) <= n,(Z.succ n) <= n,m <= n,(Z.succ n) = n,(Z.succ m) = -1 && (Z.succ m) = n && (Z.succ n) <= n,(Z.succ n) <= n,m <= n,(Z.succ n) = n
47,  n > m -> p + n > p + m,,,,,,,,,,,,
48,  n > m -> n + p > m + p,,,,,,,,,,,,
49,  n <= m -> p + n <= p + m,,,,,,,,,,,,
